"v_make_name","v_make_id"
"KYMCO","2"
"Aprilia","5"
"Ather","6"
"Avan Motors","7"
"Avera","8"
"Avon","9"
"BattRE Electric Mobility","12"
"Benelli","13"
"Big Dog Motorcycles","14"
"CF Moto","16"
"Ducati","18"
"Emflux","20"
"Harley-Davidson","23"
"Hero Electric","24"
"Husqvarna","26"
"Hyosung","27"
"Indian Motorcycle","28"
"JAWA","30"
"Kawasaki","31"
"Komaki","32"
"KTM","33"
"Lambretta","34"
"Lectro Electric","35"
"Lohia","37"
"Moto Guzzi","39"
"MV Agusta","40"
"Norton Motorcycles","41"
"Okinawa","42"
"Palatino","43"
"Revolt Motors","45"
"Royal Enfield","46"
"Suzuki","47"
"SWM","48"
"Techo Electra","49"
"Tork Motors","51"
"Triumph","52"
"TVS","53"
"Ujaas Energy","54"
"UM Motorcycles","55"
"Vespa","56"
"Yamaha","58"
"LML","59"
"BSA Motors","132"
"Enigma","134"
"Hero","137"
"Lectrix","139"
"Kinetic","145"
"Moto Morini","147"
"Keeway","150"
"Yezdi","154"
"Li-ions Elektrik Solutions","158"
"Raftaar","160"
"Yezdi Motorcycles","161"
"YUKIE","162"
"SUPER ECO","163"
"Benling India","164"
"Evolet","165"
"EeVe","166"
"PURE EV","167"
"Gemopai","168"
"Toutche Electric","169"
"Honda","171"
"Bajaj","172"
"BMW","173"
"Mahindra","174"
"Tunwal","214"
"BGauss","215"
"Joy E-bike","216"
"YOBykes","217"
"Li-ions","218"
"Ampere","219"
"Geliose","243"
"Detel EV","244"
"White Carbon Motors","261"
"Prevail Electric","274"
"Gravton","275"
"Hop Electric","276"
"AMO Electric","277"
"Ola Electric","278"
"Warivo Motors","279"
"Simple Energy ","280"
"Evtric Motors","281"
"Rugged","285"
"iVOOMi","286"
"Viertric","287"
"Poise","288"
"Moto Guzzi","289"
"Okaya Electric","290"
"Deltic","292"
"Devot","296"
"Everve Motors","297"
"Emote Electric","298"
"Aftek","299"
"Bird","300"
"Orxa","301"
"Boom Motors","305"
"Greta Electric","306"
"Svitch","307"
"DAO Electric","308"
"Bounce","310"
"BSA","315"
"One Moto","320"
"One Electric","321"
"Stella Automobili","322"
"BattRE Electric","323"
"M2GO","324"
"Ujaas ","325"
"Earth Energy EV","326"
"Odysse Electric","327"
"Gowel","328"
"Kabira Scooters","329"
"HCD India","330"
"Avera ","331"
"Yukie ","332"
"Super Eco","333"
"Raftaar ","334"
"Crayon ","335"
"Velev Motors","336"
"Merico","337"
"SES Electric","338"
"Ultraviolette","339"
"RBSEVA","340"
"Cyborg","341"
"Oben","342"
"Gleev Motors","343"
"GRP EV","344"
"Zelio","350"
"Segway","354"
"Fidato Evtech","360"
"Super Soco","361"
"SYM","362"
"Srivaru Motors","363"
"Wroley E-Scooter","366"
"Trouve Motor","368"
"Dispatch EV","370"
"Trinity","371"
"Atumobile","404"
"Terra Motors","414"
"YC Electrice","417"
"Zontes","418"
"EVeium","421"
"Silence","423"
"ravi testing1","427"
"ravi r test2","428"
"Quantum Energy","430"
"GT Force","431"
"asdasdasd","434"
"asdasdasdasd","437"
"Motovolt","443"
"Zero Motorcycles","444"
"Kyte Energy","446"
"QJ Motor","447"
"Matter EV","448"
"Hero Vida","450"
"Eko Tejas","451"
"Revamp Moto","454"
"MBP Moto","462"
"River EV","463"
"Benda","464"
"Liger","466"
"LIger","467"
"Aeroride","469"
"Magron Novus","479"
"iGowise","480"
"Yulu ","483"
"Power EV","484"
"Power EV","485"
"cromptin","487"
"mahesh","488"
"runner","489"
"avtar","490"
"Test","491"
"Gogoro","494"
"Kick EV","495"
"BNC","497"
"Energy Automobile","498"
"Indibike","499"
"Sokudo","500"
"ADMS","501"
"Herald E Bike","502"
"Matter AERA","503"
"Fujiyama","505"
"test","507"
"Maruthisan ","512"
"Eblu","515"
"Eblu","517"
"Eblu","528"
"Eblu","530"
"Eblu","532"
"Eblu","534"
"Eblu","536"
"Eblu","538"
"Eblu","540"
"dddddddd","555"
"dddddddd","556"
"Eblu","576"
"Dynamo  ","577"
"Eblu","580"
"Dynamo  ","581"
"Eblu","584"
"Dynamo  ","585"
"Eblu","588"
"Dynamo  ","589"
"Eblu","592"
"Dynamo  ","593"
"Eblu","596"
"Dynamo  ","597"
"Eblu","600"
"Dynamo  ","601"
"Eblu","605"
"Dynamo  ","606"
"Vegh","608"
"Eblu","610"
"Dynamo  ","611"
"Vegh","613"
"Eblu","615"
"Dynamo  ","616"
"Vegh","618"
"Eblu","620"
"Dynamo  ","621"
"Vegh","623"
"Eblu","625"
"Dynamo  ","626"
"Vegh","628"
"test scooter","630"
"testing scooter","632"
"testing scooter","633"
"testing scooter","634"
"testing scooter","636"
"testing scooter","638"
"testing scooter","640"
"testing scooter","641"
"testing scooter","642"
"usha","650"
"e-Sprinto","652"
"usha","654"
