v_make_name,v_make_id
Honda,1
Bajaj,10
BMW,15
Mahindra,38
Aston Martin,60
Audi,61
Bentley,62
Bugatti,63
DC,66
Ferrari,67
Hyundai,71
ICML,72
Isuzu,73
Jaguar,74
Jeep,75
KIA,76
Lamborghini,77
Land Rover,78
Lexus,79
Maserati,81
Mini,84
Nissan,86
Porsche,87
Renault,89
Skoda,92
Tata,93
Toyota,94
Volkswagen,95
Volvo,96
Conquest,99
Maybach,102
Austin,106
MG,107
Citroen,108
Tesla,109
Maruti,110
Mercedes-Benz,111
Rolls-Royce,112
Force,113
Koenigsegg,114
Caterham,116
Dodge,117
Peugeot,118
Hummer,119
Cadillac,120
Subaru,122
Infiniti,123
San Motors,124
Chrysler,125
Smart,126
Morris,128
Studebaker,129
Sipani,130
ORA,221
Strom Motors,245
Test,294
Haval,295
BYD Auto,302
PMV,388
OLA Electric,390
Mclaren,419
YC Electrice,425
testing,426
asdasdad,432
sfdasasdasd,440
Pravaig,445
testing1,452
GT Force1,453
abhay,455
cromptin,457
vansun,458
unicorn,459
ankur,460
Sony Honda,468
testinggggdfsdfdf,481
  dfv  ,482
ravitesting001,492
testing,504
Fisker,506
Test Brand,508
testme,509
vansuntesting,510
Testing 12,511
Sushil testing,541
Sushil testing,542
test,543
test,544
test,545
test,546
test dimple,547
test dimple,548
test dimple,549
test dimple,550
test dimple one,551
test dimple one,552
test dimple one,553
test dimple one,554
test dimple one,557
test dimple one,558
test dimple one,559
CNG Make,560
CNG Make,561
CNG Makes,562
CNG Makes,563
CNG Makes,564
suraj make suraj,565
suraj make sun,566
TPurpose,567
TPurpose,568
TPurpose,569
TPurpose,570
TPurpose,571
TPurpose,572
TPurpose,573
Testing,603
testme,629
dimple test,646
dimple test,648
testravi,651
testing12,653
 csss ,655
