"v_model_name","v_model_id"
"Activa 125 BS6","1044"
"TMX 125","1065"
"CBR300R","1076"
"CB500X","1078"
"CB650R","1086"
"Activa 6G","1088"
"Forza 300","1090"
"Flow","1092"
"X Town 300I","1093"
"Like EV","1094"
"iFlow","1095"
"Like200","1096"
"Dorsoduro 900","1120"
"Tuono 150","1123"
"RS 150","1124"
"RS 660","1127"
"RS250","1129"
"S340","1130"
"Xero Plus","1132"
"Trend E","1133"
"Retrosa","1134"
"E Bike","1135"
"E Plus","1136"
"E Lite","1137"
"E Magic","1138"
"E Scoot","1139"
"E Mate","1140"
"E Star","1142"
"Platina 110","1143"
"Avenger Street 220","1148"
"Bajaj Pulsar 200 Ns","1154"
"Pulsar Rs 200","1159"
"Pulsar AS 200","1160"
"Pulsar Ss 400","1167"
"Avenger Cruise 220","1177"
"Chetak","1183"
"Eeco","1184"
"Pulsar 250","1211"
"Dominar 400 2019","1214"
"Pulsar 150 Single Disc","1221"
"Pulsar 125 Neon","1224"
"Chetak","1227"
"Electric Scooter","1228"
"TRK 502","1237"
"Imperiale 400","1242"
"402 S","1246"
"752 S","1247"
"302 S","1248"
"502 C","1250"
"K9 Red Chopper","1251"
"S 1000 Rr","1258"
"S 1000 R","1267"
"S 1000 XR","1268"
"R 1250 GS","1277"
"R 1250 GS Adventure","1279"
"R 1250 R","1281"
"250Nk","1284"
"250SR","1290"
"300SR","1292"
"Ace","1294"
"Misfit","1295"
"Xdiavel","1306"
"Multistrada 950","1325"
"Scrambler Desert Sled","1327"
"Panigale V4","1328"
"Scrambler 1100","1329"
"Diavel 1260","1331"
"Model 1","1346"
"Two","1347"
"Iron 883","1349"
"Forty Eight","1358"
"Street Glide Special","1360"
"Road King","1366"
"Fat Boy 114","1368"
"Road Glide Special","1380"
"Iron 1200","1386"
"Streetfighter 975","1387"
"LiveWire","1388"
"Pan America 1250","1389"
"Custom 1250","1390"
"Electra Glide Standard","1391"
"350","1392"
"Photon","1398"
"NYX","1403"
"Photon 48V","1411"
"Optima E5","1412"
"Flash LA","1413"
"Flash LI","1414"
"Optima LA","1415"
"Optima Li","1416"
"Photon 72 Li","1417"
"Optima HS500 ER","1418"
"NYX HS500 ER","1419"
"Vitpilen","1420"
"Svartpilen","1421"
"Scout","1433"
"Roadmaster","1434"
"Electron Er","1451"
"Xplor","1453"
"Yo Edge","1460"
"JAWA Perak","1463"
"Forty Two","1464"
"Ninja 300","1465"
"Ninja 1000","1468"
"Ninja H2","1473"
"KLX 110","1475"
"Versys 650","1476"
"Vulcan S","1477"
"Ninja 650","1481"
"Z650","1489"
"Z900","1490"
"Z 900","1491"
"KX 100","1493"
"KX 250","1494"
"KLX 140","1497"
"KX 450F","1498"
"KLX 450R","1499"
"Z900","1502"
"Versys 1000","1507"
"Ninja Zx10Rr","1508"
"W800 Street","1509"
"Xone","1510"
"Xgtkm","1511"
"X2 Vogue","1512"
"Super","1513"
"Duke 200","1515"
"390 Duke ABS","1519"
"390 Duke","1529"
"Duke 250","1537"
"Duke 125","1540"
"V125","1542"
"V200","1543"
"E Zephyr Sst","1544"
"Glide SST","1545"
"Essentia SST","1546"
"E Zephyr","1547"
"Glide Unisex","1548"
"Glide Lady","1549"
"Essentia","1550"
"Townmaster","1551"
"Oma","1553"
"Genius","1554"
"Oma Star Li","1555"
"Gusto 125","1572"
"Griso 1200 8V","1582"
"California 1400","1583"
"V9","1586"
"Mgx 21","1592"
"Eldorado","1593"
"Raise","1610"
"Angel","1612"
"Sunshine","1613"
"Princess","1614"
"Spyker","1615"
"Ryan","1616"
"Polarity Smart Sport","1624"
"Executive","1625"
"RV400","1627"
"RV300","1628"
"RV Cafe Racer","1629"
"Royal_Enfield_Taurus","1658"
