v_model_name,v_model_id
Nexon EV1,13096
Testing,13095
test rraman,13091
tettt,13090
tet,13089
unit test 2,13088
Grand Vitara,13085
AMG C43,13082
GLE LWB,13078
girish,13071
eureka,13070
testcasemodel,13069
sushil car,13068
Nexon EV,13065
X4,13042
Fronx,13028
sdassdasdasada,13009
8001,13005
santa,12974
New Suraj EV,12970
Nexon,12931
Dzire,12930
Phantom,12928
Fortuner,12927
XUV 700,12926
Punch,12925
Creta,12924
Thar,12923
Exter,12922
Nexon EV 2023,12882
AMG-G 63,12879
Maybach S-Class,12878
AMG SL55 Roadster,12877
AMG GLE 63 S,12876
AMG E 63,12875
G-Class,12874
S Class,12873
EQS,12872
EQE,12871
AMG E 53 Cabriolet,12870
GLS,12869
AMG E 53,12868
XM,12867
i7,12866
M4 Competition,12865
X7,12864
iX Electric,12863
RS Q8,12862
RS E-Tron GT,12861
E-Tron GT,12860
A8L,12859
RS5,12858
Q8,12857
e-tron,12856
Q8 e-tron,12855
M2,12854
i4,12853
3 Series Gran Limousine,12851
2 Series Gran Coupe,12849
6 Series,12848
5-Series,12847
3-Series,12846
Z4,12845
X3,12844
X1,12843
Q3 Sportback,12841
Q7,12840
S5 Sportback,12839
Q3,12838
GLB,12837
AMG GLC 43,12836
GLC Coupe,12835
EQC,12834
A Class Sedan Limousine,12833
GLA,12832
EQB,12831
AMG A 35,12830
AMG A 45 S,12829
iX1,12747
Compass,12702
Grand Cherokee,12699
C3,12696
Meridian,12694
Fronx1,12690
Venue,12650
XC40 Recharge,12649
XC40,12648
Harrier,12646
Quattroporte,12645
E-Class,12644
XC60,12643
S90,12599
C1,12583
C-Class,12558
A6,12555
A4,12535
Sonet,12533
Alto,12524
C21,12512
Tigor,12503
Range Rover Evoque,12502
Elevate,12501
Q2,12497
sushil x6 new,12496
C40 Recharge,12487
Altroz,12470
Camry,12469
Gloster,12468
Rumion,12458
Triber,12457
Kwid,12456
Kiger,12454
ravi test new,12451
test model cache,12448
plus,12441
Tigor EV,12425
Tiago,12420
Tigor CNG,12419
Alcazar,12418
Eeco,12416
Altroz CNG,12413
S-Presso,12411
XUV 400 Electric,12410
Kodiaq,12409
ES,12408
LS 500h,12406
LC 500h,12405
I-Pace,12402
Nexon 2017-2023,12400
Defender,12396
Glanza,12395
Bolero Neo,12394
Tiago CNG,12392
Nexon EV Max,12391
Slavia,12390
Vellfire,12389
Tucson,12388
Taigun,12386
Fortuner Legender,12382
E-Verito,12380
Testing 12,12372
Wrangler,12359
XC90,12355
Amaze,12353
Celerio,12349
Kushaq,12348
Magnite,12347
Carens,12346
LX,12343
Range Rover,12341
NX,12340
X5,12295
Ciaz,12277
XL6,12276
Ignis,12275
Wagon R,12257
Revuelto,12251
Celerio Tour H2 Taxi,12249
Swift 2023,12248
S-Cross 2023,12247
jksjjkjjk,12242
XUV 350,12209
Testing12,12177
test suraj,12176
Innova Hycross,11799
Aura,11798
Hector 2023,11796
EV6,11795
XUV300,11793
Comet EV,11780
Tiago EV,11775
Verna,11774
Astor,11772
i20,11771
Bolero,11769
One plus,11755
AMG GLE 53 Coupe,11736
Invicto,11697
Seltos,11695
Baleno,11694
Jimny,11689
pikachoo,11688
Ertiga,11687
Scorpio N,11683
Swift,11681
DBX,11675
KWID EV,11673
City 5th Gen,11666
Grand i10 Nios,11665
Urban Cruiser HyRyder,11664
Brezza,11662
Innova Crysta,11589
eC3,11588
Virtus,11577
Alto K10,11574
Safari,11572
Testing 90,11523
testing 45,11522
Scorpio Classic,11498
Cayenne Coupe,11494
Discovery Sport,11492
KUV100 NXT,11491
C5 Aircross,11490
E6 Electric,11489
Cayenne,11482
Range Rover Sports,11481
Marazzo,11480
Cullinan,11478
Tiago NRG BS6,11477
ZS EV,11475
i20 N Line,11474
Q5,11472
Kona Electric,11470
911,11469
City Hybrid,11466
Cooper Countryman,11464
Tiguan,11461
M8 Coupe Competition,11456
7-Series,11454
F-Pace,11451
718,11448
Hilux,11446
Ioniq 5,11444
Cooper Convertible,11441
F-Type,11440
D-Max,11436
Atto 3,11429
Urus,11427
Hector Plus 2023,11412
3 Door,11401
Velar,11400
ravimetest,11374
Land Cruiser LC300,11344
Testing 12345,11324
City,11303
GLC,11286
M Series,11155
Gurkha,11115
XF,11113
Ultra CNG,11078
MU-X,11049
Venue N Line,11047
Ghibli,11011
GranTurismo,11009
Defy,11008
GLE-Class,10921
C3 Aircross,10894
Punch CNG,10804
Nexon EV Prime,10667
Superb,10526
Sushil Ritz,10419
EV 98,10371
altra CNG,10370
EV 23,10363
EV2,10319
Seltos Facelift,10238
Alto 800,10200
Sonet12,10190
Seltos 2023,10187
Seltos 2019-2022,10172
