v_model_name,v_model_id
CBR 650,1087
0 SL,9108
1 Matts 610V,4141
1 Series,82
1 Series 2013 15,69
10 E Rickshaw,9443
10 Nxt E Rickshaw,9445
10 Pro E Rickshaw,9444
"10 SS E Rickshaw, Body Type: Stainless Steel",9439
10.50 C,8789
10.50 C Starline School Bus,8655
10.50 C Starline Staff Bus,8652
10.50 C Starline Staff Bus MAXICAB,8651
10.50 D,8653
10.50 D Starline School Bus,8786
10.50 D Starline Staff Bus,8790
10.50 E,8591
10.50 E Starline School Bus,8659
10.50 E Starline Staff Bus,8656
10.50XS E,8791
10.50XS E Starline School Bus,8658
10.50XS E Starline Staff Bus,8792
10.75 C,8783
10.75 E,8794
10.75 E CNG,8787
10.75 E Starline CNG School Bus,8660
10.75 E Starline College Bus,8782
10.75 E Starline School Bus,8661
10.75 E Starline Staff Bus,8657
10.75 F,8780
10.75 H,8744
10.75 H AC,8779
10.75 H AC Skyline School Bus,8673
10.75 H CNG,8781
10.75 H Skyline AC School Bus,8681
10.75 H Skyline AC Staff Bus,8667
10.75 H Skyline College Bus,8669
10.75 H Skyline LIMO Push Back,8654
10.75 H Skyline School Bus,8671
10.75 H Skyline Staff Bus,8668
10.75 H Starline CNG School Bus,8670
10.75 H Starline College Bus,8766
10.75 H Starline School Bus,8672
10.75 H Starline Staff Bus,8663
10.90 L,8769
10.90 L Skyline College Bus,8682
10.90 L Skyline School Bus,8686
10.90 L Skyline Staff Bus,8770
10.90 L Starline CNG School Bus,8756
10.90 L Starline School Bus,8683
10.90 L Starline Staff Bus,8680
1000,848
10049 4WD,5767
1009g LPT,6405
1012 LPT,6406
1015R,6246
1015R Plus,8584
1017 Chassis,8722
1022 DI,5972
1026,6230
1026 NG,8324
1026E,7358
1030 DI Mahashakti,5877
1035 DI,5716
1035 DI Dost,8145
1035 DI MAHA SHAKTI,8132
1035 DI Planetary Plus,8136
1035 DI Tonner,8141
1050 Adventure,1522
11 Max,8096
11 Mini,8097
11 Pro,8095
11.12 K Starline School Bus,8587
11.12 K Starline Staff Bus,8690
1100,283
1109g LPT,6407
1112 LPT,6408
1117R,10000
1134 DI,5826
118 NE,588
1198,2809
12 FE School Bus,8976
12 M,8685
12.12 K,8741
12.12 K Starline College Bus,8691
12.12 K Starline School Bus,8697
12.12 K Starline Staff Bus,8752
1200 Custom,1364
1212 LPK,6409
1212 LPT,6410
1212 LPT (Tubeless),8916
1215R,6247
1215RE,6248
1217C,6249
1217R,10001
1217RE,10013
125 Duke,3038
1290 Super Duke R,8006
1299 Panigale,1307
1299 Panigale S,1308
1299 Superleggera,1322
12M FE Intercity,8975
12M FE Staff Bus,7460
12M FE Stage Carrier Bus,8973
12M FE Tourist Bus,8974
12M FESLF,8767
138 D,590
1412 LPT,6411
1412g LPT,6412
1415R,6250
1415RE,6251
1417R,10002
1512 LPT,6413
1512g LPT,9332
1617R,6252
1624 Chassis,7436
16T Chassis,8822
1812g LPT,9828
1815 LPT,9827
188,5911
188 4 WD,7776
1916 HH 4?2 haulage,9994
1917R,6253
1920 4x2,6712
1920 HH 4?2 haulage,9993
